ใน	naj˧
วิทยาลัย	wit̚˦˥ tʰa˦˥ jaː˧ laj˧
บ	bɔː˧
ปล่อย	plɔj˨˩
ศิลปิน	sin˩˩˦ la˦˥ pin˧
จา	tɕaː˧
สยาม	sa˨˩ jaːm˩˩˦
เอเชีย	ʔeː˧ tɕʰia˧
นะ	naʔ˦˥
โบราณ	boː˧ raːn˧
หัวหน้า	hua˩˩˦ naː˥˩
มีชื่อเสียง	miː˧ tɕʰɯː˥˩ siaŋ˩˩˦
ตาย	taːj˧
หมายเลข	maːj˩˩˦ leːk̚˥˩
ธรรม	tʰam˧
บางส่วน	baːŋ˧ suan˨˩
ปัญหา	pan˧ haː˩˩˦
เก็บ	kep̚˨˩
ไท	tʰaj˧
ชี	tɕʰiː˧
ปกครอง	pok̚˨˩ kʰrɔːŋ˧
เรียน	rian˧
ลำดับ	lam˧ dap̚˨˩
ฉาย	tɕʰaːj˩˩˦
การเมือง	kaːn˧ mɯaŋ˧
เพิ่มขึ้น	pʰɤːm˥˩ kʰɯn˥˩
เทคโนโลยี	tʰek̚˦˥ noː˧ loː˧ jiː˧
ชัน	tɕʰan˧
พี	pʰiː˧
บอก	bɔːk̚˨˩
ประธานาธิบดี	pra˨˩ tʰaː˧ naː˧ tʰi˦˥ bɔː˧ diː˧
วิหาร	wi˦˥ haːn˩˩˦
เสนอ	sa˨˩ nɤː˩˩˦
วะ	waʔ˦˥
เหลือ	lɯa˩˩˦
เก่า	kaw˨˩
หน้าที่	naː˥˩ tʰiː˥˩
เช่นกัน	tɕʰeːn˥˩ kan˧
พล	pʰon˧
พิจารณา	pʰi˦˥ tɕaː˧ ra˦˥ naː˧
รัชกาล	rat̚˦˥ tɕʰa˦˥ kaːn˧
เซอร์	sɤː˥˩
ตลอด	ta˨˩ lɔːt̚˨˩
เป็นเวลา	pen˧ weː˧ laː˧
ถือ	tʰɯː˩˩˦
แดง	dɛːŋ˧
บรม	bɔː˧ rom˧
ต่างกัน	taːŋ˨˩ kan˧
สัญลักษณ์	san˩˩˦ ja˦˥ lak̚˦˥
ยึด	jɯt̚˦˥
ยอด	jɔːt̚˥˩
ถือเป็น	tʰɯː˩˩˦ pen˧
ตัวอย่าง	tua˧ jaːŋ˨˩
หิน	hin˩˩˦
อัล	ʔan˧
นาม	naːm˧
ขณะที่	kʰa˨˩ na˨˩ tʰiː˥˩
การผลิต	kaːn˧ pʰa˨˩ lit̚˨˩
ตำรวจ	tam˧ ruat̚˨˩
พ่อ	pʰɔː˥˩
ศิลปะ	sin˩˩˦ la˦˥ paʔ˨˩
เหตุ	heːt̚˨˩
ทัพ	tʰap̚˦˥
พัน	pʰan˧
โกะ	koʔ˨˩
ห	hɔː˩˩˦
หลักฐาน	lak̚˨˩ tʰaːn˩˩˦
สกุล	sa˨˩ kun˧
อิตาลี	ʔi˨˩ taː˧ liː˥˩
โครงสร้าง	kʰroːŋ˧ saːŋ˥˩
เจ้าพระยา	tɕaːw˥˩ pʰra˦˥ jaː˧
รับรางวัล	rap̚˦˥ raːŋ˧ wan˧
สำเร็จ	sam˩˩˦ ret̚˨˩
ดำเนิน	dam˧ nɤːn˧
พิธี	pʰi˦˥ tʰiː˧
ขนาดเล็ก	kʰa˨˩ naːt̚˨˩ lek̚˦˥
ห้า	haː˥˩
กี	kiː˧
องค์กร	ʔoŋ˧ kɔːn˧
เวียดนาม	wiat̚˥˩ naːm˧
สหราชอาณาจักร	sa˨˩ ha˨˩ raːt̚˥˩ tɕʰa˦˥ ʔaː˧ naː˧ tɕak̚˨˩
แชมป์	tɕʰɛːm˧
ท้องถิ่น	tʰɔːŋ˦˥ tʰin˨˩
ขยาย	kʰa˨˩ jaːj˩˩˦
เรื่องราว	rɯaŋ˥˩ raːw˧
รบ	rop̚˦˥
ทำให้เกิด	tʰam˧ haj˥˩ kɤːt̚˨˩
เยอรมัน	jɤː˧ ra˦˥ man˧
นักร้อง	nak̚˦˥ rɔːŋ˦˥
โรงพยาบาล	roːŋ˧ pʰa˦˥ jaː˧ baːn˧
สื่อ	sɯː˨˩
พูด	pʰuːt̚˥˩
วิชา	wi˦˥ tɕʰaː˧
เฮ	heː˧
กำกับ	kam˧ kap̚˨˩
นอก	nɔːk̚˥˩
แก้ว	kɛːw˥˩
สเปน	sa˨˩ peːn˧
พระนาง	pʰra˦˥ naːŋ˧
สั่ง	saŋ˨˩
แนวคิด	nɛːw˧ kʰit̚˦˥
ร่วมกัน	ruam˥˩ kan˧
สภาพ	sa˨˩ pʰaːp̚˥˩
เป็นครั้งแรก	pen˧ kʰraŋ˦˥ rɛːk̚˥˩
ฝั่ง	faŋ˨˩
นโยบาย	na˦˥ joː˧ baːj˧
บุ	buʔ˨˩
ไว	waj˧
เล่า	law˥˩
สอน	sɔːn˩˩˦
ตีพิมพ์	tiː˧ pʰim˧
ได	daj˧
ทางการเมือง	tʰaːŋ˧ kaːn˧ mɯaŋ˧
กรณี	kɔː˧ ra˦˥ niː˧
ย่อย	jɔj˥˩
เครื่องบิน	kʰrɯaŋ˥˩ bin˧
กัมพูชา	kam˧ pʰuː˧ tɕʰaː˧
โจ	tɕoː˧
ถวาย	tʰa˨˩ waːj˩˩˦
ชุมชน	tɕʰum˧ tɕʰon˧
เส้นทาง	sen˥˩ tʰaːŋ˧
เผยแพร่	pʰɤːj˩˩˦ pʰrɛː˥˩
ประสบความสำเร็จ	pra˨˩ sop̚˨˩ kʰwaːm˧ sam˩˩˦ ret̚˨˩
สุด	sut̚˨˩
แหล่ง	lɛŋ˨˩
วิดีโอ	wi˦˥ diː˧ ʔoː˧
เอาชนะ	ʔaw˧ tɕʰa˦˥ naʔ˦˥
กองกำลัง	kɔːŋ˧ kam˧ laŋ˧
สำนักงาน	sam˩˩˦ nak̚˦˥ ŋaːn˧
พื้น	pʰɯːn˦˥
ที่ดิน	tʰiː˥˩ din˧
เย	jeː˧
บริการ	bɔː˧ ri˦˥ kaːn˧
เศรษฐกิจ	seːt̚˨˩ tʰa˨˩ kit̚˨˩
ตรา	traː˧
บ้าง	baŋ˥˩
ใคร	kʰraj˧
เอ็ม	ʔem˧
แต่ง	tɛŋ˨˩
ชู	tɕʰuː˧
พลังงาน	pʰa˦˥ laŋ˧ ŋaːn˧
แผ่น	pʰɛn˨˩
ธุรกิจ	tʰu˦˥ ra˦˥ kit̚˨˩
ควร	kʰuan˧
ลู	luː˧
ถือว่า	tʰɯː˩˩˦ waː˥˩
คุณ	kʰun˧
บังคับ	baŋ˧ kʰap̚˦˥
คอน	kʰɔːn˧
เจ้าหน้าที่	tɕaːw˥˩ naː˥˩ tʰiː˥˩
ยอมรับ	jɔːm˧ rap̚˦˥
ครู	kʰruː˧
ฤดูร้อน	rɯ˦˥ duː˧ rɔːn˦˥
พระนาม	pʰra˦˥ naːm˧
ในที่สุด	naj˧ tʰiː˥˩ sut̚˨˩
ซื้อ	sɯː˦˥
สั้น	san˥˩
ภาษาอังกฤษ	pʰaː˧ saː˩˩˦ ʔaŋ˧ krit̚˨˩
วิน	win˧
ทั่วโลก	tʰua˥˩ loːk̚˥˩
ขณะ	kʰa˨˩ naʔ˨˩
ฆ่า	kʰaː˥˩
ตก	tok̚˨˩
อุปกรณ์	ʔu˨˩ pa˨˩ kɔːn˧
มาถึง	maː˧ tʰɯŋ˩˩˦
มีชื่อ	miː˧ tɕʰɯː˥˩
เน	neː˧
อู	ʔuː˧
ปิด	pit̚˨˩
พืช	pʰɯːt̚˥˩
นุ	nuʔ˦˥
ระยะเวลา	ra˦˥ ja˦˥ weː˧ laː˧
เกาหลี	kaw˧ liː˩˩˦
ดิน	din˧
พ	pʰɔː˧
ร่างกาย	raːŋ˥˩ kaːj˧
ประ	praʔ˨˩
กิจการ	kit̚˨˩ tɕa˨˩ kaːn˧
ปกติ	pok̚˨˩ ka˨˩ tiʔ˨˩
โทรทัศน์	tʰoː˧ ra˦˥ tʰat̚˦˥
หลักสูตร	lak̚˨˩ suːt̚˨˩
คู	kʰuː˧
การเปลี่ยนแปลง	kaːn˧ plian˨˩ plɛːŋ˧
กอ	kɔː˧
เพิ่มเติม	pʰɤːm˥˩ tɤːm˧
เหล่า	law˨˩
อาจารย์	ʔaː˧ tɕaːn˧
แบ	bɛː˧
ขุนนาง	kʰun˩˩˦ naːŋ˧
ตัด	tat̚˨˩
มุ	muʔ˦˥
คริสต์ศตวรรษ	kʰrit̚˦˥ sa˨˩ ta˨˩ wat̚˦˥
ดัง	daŋ˧
สิบ	sip̚˨˩
ศตวรรษ	sa˨˩ ta˨˩ wat̚˦˥
ปรับ	prap̚˨˩
ไร	raj˧
นี่	niː˥˩
คาร์	kʰaː˧
ให้บริการ	haj˥˩ bɔː˧ ri˦˥ kaːn˧
บางครั้ง	baːŋ˧ kʰraŋ˦˥
รับบท	rap̚˦˥ bot̚˨˩
ธรรมชาติ	tʰam˧ ma˦˥ tɕʰaːt̚˥˩
ยอดเยี่ยม	jɔːt̚˥˩ jiam˥˩
สัปดาห์	sap̚˨˩ daː˧
พันธุ์	pʰan˧
การทำงาน	kaːn˧ tʰam˧ ŋaːn˧
จง	tɕoŋ˧
โตะ	toʔ˨˩
ธง	tʰoŋ˧
แคว้น	kʰwɛːn˦˥
กล่าวถึง	klaːw˨˩ tʰɯŋ˩˩˦
เบอร์	bɤː˧
ราชการ	raːt̚˥˩ tɕʰa˦˥ kaːn˧
การต่อสู้	kaːn˧ tɔː˨˩ suː˥˩
ช่วงเวลา	tɕʰuaŋ˥˩ weː˧ laː˧
ภาวะ	pʰaː˧ waʔ˦˥
อะไร	ʔa˨˩ raj˧
หนี	niː˩˩˦
งะ	ŋaʔ˦˥
สวน	suan˩˩˦
แรง	rɛːŋ˧
วงการ	woŋ˧ kaːn˧
เสมอ	sa˨˩ mɤː˩˩˦
พระมหากษัตริย์	pʰra˦˥ ma˦˥ haː˩˩˦ ka˨˩ sat̚˨˩
จับ	tɕap̚˨˩
ให้เสียง	haj˥˩ siaŋ˩˩˦
เป็นสมาชิก	pen˧ sa˨˩ maː˧ tɕʰik̚˦˥
วร	wɔːn˧
ขึ้นไป	kʰɯn˥˩ paj˧
กรรมการ	kam˧ ma˦˥ kaːn˧
คืน	kʰɯːn˧
ตามที่	taːm˧ tʰiː˥˩
แก้ไข	kɛː˥˩ kʰaj˩˩˦
มัง	maŋ˧
ชน	tɕʰon˧
ฟ้า	faː˦˥
รัฐธรรมนูญ	rat̚˦˥ tʰa˨˩ tʰam˧ ma˦˥ nuːn˧
วิธีการ	wi˦˥ tʰiː˧ kaːn˧
หน่วยงาน	nuaj˨˩ ŋaːn˧
เชียงใหม่	tɕʰiaŋ˧ maj˨˩
ด้วยกัน	duaj˥˩ kan˧
ที่เกิด	tʰiː˥˩ kɤːt̚˨˩
ตอนที่	tɔːn˧ tʰiː˥˩
ลาว	laːw˧
สม	som˩˩˦
นักกีฬา	nak̚˦˥ kiː˧ laː˧
ค้นพบ	kʰon˦˥ pʰop̚˦˥
วัตถุ	wat̚˦˥ tʰuʔ˨˩
แค	kʰɛː˧
มารดา	maːn˧ daː˧
รายชื่อ	raːj˧ tɕʰɯː˥˩
ต่อเนื่อง	tɔː˨˩ nɯaŋ˥˩
ความนิยม	kʰwaːm˧ ni˦˥ jom˧
ราชอาณาจักร	raːt̚˥˩ tɕʰa˦˥ ʔaː˧ naː˧ tɕak̚˨˩
เห	heː˩˩˦
มิได้	mi˦˥ daːj˥˩
ตั้งขึ้น	taŋ˥˩ kʰɯn˥˩
บอ	bɔː˧
แถบ	tʰɛːp̚˨˩
ปราสาท	praː˧ saːt̚˨˩
อัตรา	ʔat̚˨˩ traː˧
โอรส	ʔoː˧ rot̚˦˥
ต่อสู้	tɔː˨˩ suː˥˩
ช่วยเหลือ	tɕʰuaj˥˩ lɯa˩˩˦
ธิดา	tʰi˦˥ daː˧
ห่าง	haːŋ˨˩
เลี้ยง	liaŋ˦˥
ทั่ว	tʰua˥˩
เจริญ	tɕa˨˩ rɤːn˧
กระทรวง	kra˨˩ suaŋ˧
กิจกรรม	kit̚˨˩ tɕa˨˩ kam˧
เช่นเดียวกับ	tɕʰeːn˥˩ diaw˧ kap̚˨˩
ที่มา	tʰiː˥˩ maː˧
คำสั่ง	kʰam˧ saŋ˨˩
ทั้งนี้	tʰaŋ˦˥ niː˦˥
จริง	tɕiŋ˧
การนำ	kaːn˧ nam˧
ส่งผล	soŋ˨˩ pʰon˩˩˦
ตลาด	ta˨˩ laːt̚˨˩
ต่างประเทศ	taːŋ˨˩ pra˨˩ tʰeːt̚˥˩
ปาก	paːk̚˨˩
สะพาน	sa˨˩ pʰaːn˧
จอห์น	tɕɔːn˧
น่า	naː˥˩
ซุน	sun˧
ร้อยละ	rɔːj˦˥ laʔ˦˥
การรักษา	kaːn˧ rak̚˦˥ saː˩˩˦
นำมา	nam˧ maː˧
นอกจาก	nɔːk̚˥˩ tɕaːk̚˨˩
หรือไม่	rɯː˩˩˦ maj˥˩
อธิบาย	ʔa˨˩ tʰi˦˥ baːj˧
สินค้า	sin˩˩˦ kʰaː˦˥
ซัน	san˧
ดอก	dɔːk̚˨˩
เนื้อหา	nɯa˦˥ haː˩˩˦
โรมัน	roː˧ man˧
เขตเลือกตั้ง	kʰeːt̚˨˩ lɯak̚˥˩ taŋ˥˩
บทบาท	bot̚˨˩ baːt̚˨˩
ว่าด้วย	waː˥˩ duaj˥˩
ฟา	faː˧
ปรากฏตัว	praː˧ kot̚˨˩ tua˧
เอ็น	ʔen˧
บรรดา	ban˧ daː˧
ร้อง	rɔːŋ˦˥
คัน	kʰan˧
ชิ้น	tɕʰin˦˥
กระบวนการ	kra˨˩ buan˧ kaːn˧
ตัดสินใจ	tat̚˨˩ sin˩˩˦ tɕaj˧
เพื่อน	pʰɯan˥˩
เนื้อ	nɯa˦˥
การประชุม	kaːn˧ pra˨˩ tɕʰum˧
ตำนาน	tam˧ naːn˧
ระยะ	ra˦˥ jaʔ˦˥
ไฟฟ้า	faj˧ faː˦˥
ศักดิ์	sak̚˨˩
ติดต่อ	tit̚˨˩ tɔː˨˩
คิ	kʰiʔ˦˥
อเมริกา	ʔa˨˩ meː˧ ri˦˥ kaː˧
ขุน	kʰun˩˩˦
เลือกตั้ง	lɯak̚˥˩ taŋ˥˩
ทฤษฎี	tʰrit̚˦˥ sa˨˩ diː˧
บุญ	bun˧
เกือบ	kɯap̚˨˩
ที่ตั้ง	tʰiː˥˩ taŋ˥˩
เกาหลีใต้	kaw˧ liː˩˩˦ taːj˥˩
ก่อนที่จะ	kɔːn˨˩ tʰiː˥˩ tɕaʔ˨˩
นิตยสาร	nit̚˦˥ ta˨˩ ja˦˥ saːn˩˩˦
ในขณะนั้น	naj˧ kʰa˨˩ na˨˩ nan˦˥
เพ	pʰeː˧
ปฏิบัติการ	pa˨˩ ti˨˩ bat̚˨˩ kaːn˧
ลาย	laːj˧
เทียบ	tʰiap̚˥˩
คัดเลือก	kʰat̚˦˥ lɯak̚˥˩
โดยทั่วไป	doːj˧ tʰua˥˩ paj˧
อุตสาหกรรม	ʔut̚˨˩ saː˩˩˦ ha˨˩ kam˧
ออสเตรเลีย	ʔɔs˦˥ treː˧ lia˧
หนัก	nak̚˨˩
สา	saː˩˩˦
สัญญา	san˩˩˦ jaː˧
ฉัน	tɕʰan˩˩˦
ชาวไทย	tɕʰaːw˧ tʰaj˧
สถิติ	sa˨˩ tʰi˨˩ tiʔ˨˩
ชัดเจน	tɕʰat̚˦˥ tɕeːn˧
เจ้าเมือง	tɕaːw˥˩ mɯaŋ˧
หนอง	nɔːŋ˩˩˦
เขียว	kʰiaw˩˩˦
มาตรฐาน	maːt̚˥˩ tra˨˩ tʰaːn˩˩˦
สถานะ	sa˨˩ tʰaː˩˩˦ naʔ˦˥
การ์ตูน	kaː˧ tuːn˧
แพทย์	pʰɛːt̚˥˩
ปฏิเสธ	pa˨˩ ti˨˩ seːt̚˨˩
มาร์	maː˧
ไร่	raj˥˩
ยาก	jaːk̚˥˩
อากาศ	ʔaː˧ kaːt̚˨˩
ข่าว	kʰaːw˨˩
โดยที่	doːj˧ tʰiː˥˩
ปืน	pɯːn˧
ใกล้เคียง	klaj˥˩ kʰiaŋ˧
อิทธิพล	ʔit̚˨˩ tʰi˦˥ pʰon˧
ผสม	pʰa˨˩ som˩˩˦
พร	pʰɔːn˧
มือ	mɯː˧
ครั้น	kʰran˦˥
คริสต์	kʰrit̚˦˥
รวดเร็ว	ruat̚˥˩ rew˧
เต็ม	tem˧
คนใน	kʰon˧ naj˧
เลือด	lɯat̚˥˩
ข้าม	kʰaːm˥˩
ขาด	kʰaːt̚˨˩
รุนแรง	run˧ rɛːŋ˧
เออร์	ʔɤː˧
สาว	saːw˩˩˦
ไค	kʰaj˧
ทิ้ง	tʰiŋ˦˥
ตรวจ	truat̚˨˩
ทีวี	tʰiː˧ wiː˧
ทั้งสิ้น	tʰaŋ˦˥ sin˥˩
คง	kʰoŋ˧
โนะ	noʔ˦˥
สมบูรณ์	som˩˩˦ buːn˧
ดะ	daʔ˨˩
ความเร็ว	kʰwaːm˧ rew˧
ช้าง	tɕʰaːŋ˦˥
ศูนย์กลาง	suːn˩˩˦ klaːŋ˧
คดี	kʰa˦˥ diː˧
คอย	kʰɔːj˧
รัชสมัย	rat̚˦˥ tɕʰa˦˥ sa˨˩ maj˩˩˦
ประการ	pra˨˩ kaːn˧
ศาล	saːn˩˩˦
โพ	pʰoː˧
เวอร์	wɤː˧
ธ	tʰɔː˧
ไชย	tɕʰaj˧
ลี่	liː˥˩
ส่งเสริม	soŋ˨˩ sɤːm˩˩˦
ต่ำ	tam˨˩
พื้นฐาน	pʰɯːn˦˥ tʰaːn˩˩˦
จันทร์	tɕan˧
เอฟ	ʔeːf˨˩
ทุกคน	tʰuk̚˦˥ kʰon˧
รวบรวม	ruap̚˥˩ ruam˧
ลดลง	lot̚˦˥ loŋ˧
ผม	pʰom˩˩˦
โปรด	proːt̚˨˩
สะ	saʔ˨˩
รู้สึก	ruː˦˥ sɯk̚˨˩
แจ้ง	tɕɛːŋ˥˩
ออฟ	ʔɔːp̚˨˩
คอมมิวนิสต์	kʰɔm˧ miw˧ nit̚˦˥
บริหาร	bɔː˧ ri˦˥ haːn˩˩˦
สำนัก	sam˩˩˦ nak̚˦˥
ลิง	liŋ˧
ยกเลิก	jok̚˦˥ lɤːk̚˥˩
เหรียญ	rian˩˩˦
โป	poː˧
ริน	rin˧
สมอง	sa˨˩ mɔːŋ˩˩˦
รายได้	raːj˧ daːj˥˩
ปฏิบัติ	pa˨˩ ti˨˩ bat̚˨˩
มีส่วน	miː˧ suan˨˩
ที่สาม	tʰiː˥˩ saːm˩˩˦
หยุด	jut̚˨˩
การบริหาร	kaːn˧ bɔː˧ ri˦˥ haːn˩˩˦
ฝึก	fɯk̚˨˩
สถาปนา	sa˨˩ tʰaː˩˩˦ pa˨˩ naː˧
ไฮ	haj˧
ยอม	jɔːm˧
หมด	mot̚˨˩
เสร็จ	set̚˨˩
ฟัง	faŋ˧
สึ	sɯʔ˨˩
ดัดแปลง	dat̚˨˩ plɛːŋ˧
พระราชวัง	pʰra˦˥ raːt̚˥˩ tɕʰa˦˥ waŋ˧
ชั่วโมง	tɕʰua˥˩ moːŋ˧
ล่า	laː˥˩
เมืองหลวง	mɯaŋ˧ luaŋ˩˩˦
ดั้งเดิม	daŋ˥˩ dɤːm˧
ที่นั่ง	tʰiː˥˩ naŋ˥˩
นานาชาติ	naː˧ naː˧ tɕʰaːt̚˥˩
นักศึกษา	nak̚˦˥ sɯk̚˨˩ saː˩˩˦
กุล	kun˧
ตรวจสอบ	truat̚˨˩ sɔːp̚˨˩
ผู้หญิง	pʰuː˥˩ jiŋ˩˩˦
กำหนดให้	kam˧ not̚˨˩ haj˥˩
หอ	hɔː˩˩˦
กระจาย	kra˨˩ tɕaːj˧
แฟน	fɛːn˧
ใช้งาน	tɕʰaj˦˥ ŋaːn˧
ก๊ก	kok̚˦˥
ยืนยัน	jɯːn˧ jan˧
คัพ	kʰap̚˦˥
ภรรยา	pʰan˧ jaː˧
ลัทธิ	lat̚˦˥ tʰiʔ˦˥
ชิน	tɕʰin˧
เน้น	nen˦˥
ส่วนตัว	suan˨˩ tua˧
แผน	pʰɛːn˩˩˦
กลาย	klaːj˧
น้อยกว่า	nɔːj˦˥ kwaː˨˩
โปรแกรม	proː˧ krɛm˧
ผู้ป่วย	pʰuː˥˩ puaj˨˩
โดยตรง	doːj˧ troŋ˧
ผู้คน	pʰuː˥˩ kʰon˧
สถาปัตยกรรม	sa˨˩ tʰaː˩˩˦ pat̚˨˩ ta˨˩ ja˦˥ kam˧
ตัดสิน	tat̚˨˩ sin˩˩˦
เป้าหมาย	paw˥˩ maːj˩˩˦
อุณหภูมิ	ʔun˧ ha˨˩ pʰuːm˧
ทั้งหลาย	tʰaŋ˦˥ laːj˩˩˦
วอ	wɔː˧
ปริมาณ	pa˨˩ ri˦˥ maːn˧
ชก	tɕʰok̚˦˥
นั่ง	naŋ˥˩
เล็กน้อย	lek̚˦˥ nɔːj˦˥
ทางหลวง	tʰaːŋ˧ luaŋ˩˩˦
เอกสาร	ʔeːk̚˨˩ ka˨˩ saːn˩˩˦
ให้การ	haj˥˩ kaːn˧
นอ	nɔː˧
มอบ	mɔːp̚˥˩
น้ำหนัก	nam˦˥ nak̚˨˩
ระหว่างประเทศ	ra˦˥ waːŋ˨˩ pra˨˩ tʰeːt̚˥˩
คอมพิวเตอร์	kʰɔm˧ pʰiw˧ tɤː˥˩
แต่งงาน	tɛŋ˨˩ ŋaːn˧
เท่ากับ	tʰaw˥˩ kap̚˨˩
ชาร์ต	tɕʰaːt̚˥˩
ประทับ	pra˨˩ tʰap̚˦˥
ครอง	kʰrɔːŋ˧
ระเบิด	ra˦˥ bɤːt̚˨˩
ตามลำดับ	taːm˧ lam˧ dap̚˨˩
พระพุทธรูป	pʰra˦˥ pʰut̚˦˥ tʰa˦˥ ruːp̚˥˩
แทนที่	tʰɛːn˧ tʰiː˥˩
แข่ง	kʰɛŋ˨˩
ซูเปอร์	suː˧ pɤː˧
ประชาธิปไตย	pra˨˩ tɕʰaː˧ tʰip̚˦˥ pa˨˩ taj˧
ศัตรู	sat̚˨˩ truː˧
มีบทบาท	miː˧ bot̚˨˩ baːt̚˨˩
เยาวชน	jaw˧ wa˦˥ tɕʰon˧
เผ่า	pʰaw˨˩
นาที	naː˧ tʰiː˧
ฟี	fiː˧
รูปร่าง	ruːp̚˥˩ raːŋ˥˩
มายัง	maː˧ jaŋ˧
ลงมา	loŋ˧ maː˧
โปรดเกล้าฯ	proːt̚˨˩ klaːw˥˩
เดี่ยว	diaw˨˩
เจ้าฟ้า	tɕaːw˥˩ faː˦˥
มู	muː˧
อ่าน	ʔaːn˨˩
เจดีย์	tɕeː˧ diː˧
แอน	ʔɛːn˧
ง่าย	ŋaːj˥˩
แสน	sɛːn˩˩˦
ท้าว	tʰaːw˦˥
สุขภาพ	suk̚˨˩ kʰa˨˩ pʰaːp̚˥˩
ข้อความ	kʰɔː˥˩ kʰwaːm˧
ดาบ	daːp̚˨˩
เขมร	kʰa˨˩ meːn˩˩˦
ทั้งคู่	tʰaŋ˦˥ kʰuː˥˩
แขวง	kʰwɛːŋ˩˩˦
การสอน	kaːn˧ sɔːn˩˩˦
ปีก่อน	piː˧ kɔːn˨˩
สตูดิโอ	sa˨˩ tuː˧ di˨˩ ʔoː˧
ก่อนที่	kɔːn˨˩ tʰiː˥˩
ไต	taj˧
รับรอง	rap̚˦˥ rɔːŋ˧
สีแดง	siː˩˩˦ dɛːŋ˧
ซาน	saːn˧
ยุ	juʔ˦˥
พี่น้อง	pʰiː˥˩ nɔːŋ˦˥
พระราชโอรส	pʰra˦˥ raːt̚˥˩ tɕʰa˦˥ ʔoː˧ rot̚˦˥
อียิปต์	ʔiː˧ jip̚˨˩
ยศ	jot̚˦˥
แก	kɛː˧
เรีย	ria˧
วัย	waj˧
พิพิธภัณฑ์	pʰi˦˥ pʰit̚˦˥ tʰa˦˥ pʰan˧
สถาน	sa˨˩ tʰaːn˩˩˦
มีอายุ	miː˧ ʔaː˧ juʔ˦˥
กบฏ	ka˨˩ bot̚˨˩
ขน	kʰon˩˩˦
สิ้นสุด	sin˥˩ sut̚˨˩
เปิดเผย	pɤːt̚˨˩ pʰɤːj˩˩˦
ไหล	laj˩˩˦
เครื่องยนต์	kʰrɯaŋ˥˩ jon˧
ใจ	tɕaj˧
คนอื่น	kʰon˧ ʔɯːn˨˩
มีอำนาจ	miː˧ ʔam˧ naːt̚˥˩
นำไปสู่	nam˧ paj˧ suː˨˩
ตู	tuː˧
ยิ่ง	jiŋ˥˩
รัฐสภา	rat̚˦˥ tʰa˨˩ sa˨˩ pʰaː˧
พิมพ์	pʰim˧
จิน	tɕin˧
ครอบคลุม	kʰrɔːp̚˥˩ kʰlum˧
รถไฟ	rot̚˦˥ faj˧
นับตั้งแต่	nap̚˦˥ taŋ˥˩ tɛː˨˩
สิ้นพระชนม์	sin˥˩ pʰra˦˥ tɕʰon˧
เข้ากับ	kʰaw˥˩ kap̚˨˩
ผลกระทบ	pʰon˩˩˦ kra˨˩ tʰop̚˦˥
พัก	pʰak̚˦˥
ชาวบ้าน	tɕʰaːw˧ baːn˥˩
ภูเขา	pʰuː˧ kʰaw˩˩˦
ราคา	raː˧ kʰaː˧
ครึ่ง	kʰrɯŋ˥˩
ความเสียหาย	kʰwaːm˧ sia˩˩˦ haːj˩˩˦
ก็ตาม	kɔː˥˩ taːm˧
เหตุผล	heːt̚˨˩ pʰon˩˩˦
วิ่ง	wiŋ˥˩
ลอนดอน	lɔn˧ dɔn˧
ห้าม	haːm˥˩
ราม	raːm˧
ศึก	sɯk̚˨˩
นิกาย	ni˦˥ kaːj˧
งวง	ŋuaŋ˧
เนีย	nia˧
ชิงแชมป์	tɕʰiŋ˧ tɕʰɛːm˧
รถยนต์	rot̚˦˥ jon˧
โอกาส	ʔoː˧ kaːt̚˨˩
บทความ	bot̚˨˩ kʰwaːm˧
มีผล	miː˧ pʰon˩˩˦
สู้	suː˥˩
อันเป็น	ʔan˧ pen˧
องค์การ	ʔoŋ˧ kaːn˧
ซ้าย	saːj˦˥
อินโดนีเซีย	ʔin˧ doː˧ niː˧ sia˧
สมรส	som˩˩˦ rot̚˦˥
บาร์	baː˧
ท่าอากาศยาน	tʰaː˥˩ ʔaː˧ kaːt̚˨˩ sa˨˩ jaːn˧
หก	hok̚˨˩
อยุธยา	ʔa˨˩ jut̚˦˥ tʰa˦˥ jaː˧
ประสาท	pra˨˩ saːt̚˨˩
ธาตุ	tʰaːt̚˥˩
โช	tɕʰoː˧
เอช	ʔeːtɕʰ˦˥
เชื่อม	tɕʰɯam˥˩
เช่นนี้	tɕʰeːn˥˩ niː˦˥
ยกเว้น	jok̚˦˥ wen˦˥
ใช้เวลา	tɕʰaj˦˥ weː˧ laː˧
ไน	naj˧
ขอให้	kʰɔː˩˩˦ haj˥˩
วิทยา	wit̚˦˥ tʰa˦˥ jaː˧
โตเกียว	toː˧ kiaw˧
สิริ	si˨˩ riʔ˨˩
บัว	bua˧
กิจ	kit̚˨˩
ทู	tʰuː˧
อ่อน	ʔɔːn˨˩
อนิเมะ	ʔa˨˩ ni˨˩ meʔ˦˥
เว็บไซต์	wep̚˦˥ saj˦˥
หัวใจ	hua˩˩˦ tɕaj˧
เหมาะสม	mɔʔ˨˩ som˩˩˦
ก่อนหน้า	kɔːn˨˩ naː˥˩
ชนะเลิศ	tɕʰa˦˥ na˦˥ lɤːt̚˥˩
ม้า	maː˦˥
ศ	sɔː˩˩˦
แท้จริง	tʰɛː˦˥ tɕiŋ˧
ร้องเพลง	rɔːŋ˦˥ pʰleːŋ˧
